CODI;NOM_OFICIAL
032007;Carrer de Balcells
032051;Carrer de Baldiri Reixac
032109;Carrer de Baldomer Girona
032200;Carrer de les Balears
032302;Carrer de Balenyà
032404;Carrer de Baliarda
032506;Passatge de Baliarda
032608;Carrer de Balira
032700;Carrer de Balmes
032903;Carrer del Voló
033000;Carrer de Balsareny
033101;Carrer de les Basses de Sant Pere
033203;Carrer de Baltasar Gracián
033258;Carrer de Baltasar Samper
033305;Carrer del Baluard
033350;Carrer de Ballot
033509;Carrer de Ballester
033702;Passatge de la Banca
033804;Carrer de Banyoles
034002;Carrer dels Banys Nous
034104;Carrer dels Banys Vells
034308;Carrer la Rambla
034400;Via de Bàrcino
034603;Carrer de Barnola
034807;Carrer del Baró de la Barre
035005;Carrer del Baró d'Esponellà
035107;Passatge del Baró de Griñó
035209;Carrer del Baró de Sant Lluís
035253;Grup Baron de Viver
035300;Carrer de la Barra de Ferro
035606;Carrer del Barri Vermell
035741;Barriada Pekin
035800;Carrer de Bartrina
035901;Carrer de Basea
036100;Carrer de Bassegoda
036201;Carrer de Bassols
036405;Carrer de Batet
036507;Carrer de Batista
036609;Passatge de Batlló
036700;Carrer de Batllori
036755;Carrer de la Colònia Bausili
036802;Carrer de les Beates
036904;Plaça de les Beates
037000;Carrer del Beat Almató
037102;Carrer del Pare Miquel de Sarrià
037204;Carrer del Beat Simó
037306;Carrer de Beatriu
037350;Avinguda de J. V. Foix
037408;Carrer de Beethoven
037500;Carrer de la Begònia
037601;Carrer de Béjar
037703;Carrer de Betlem
037907;Carrer de Bellafila
037951;Plaça de Bellavista
037973;Passatge de Bellavista
037984;Camí de Bellavista
038003;Carrer de Bellcaire
038105;Carrer de Bellesguard
038309;Carrer de Bellmunt
038400;Carrer de Bellprat
038502;Carrer de Bellver
038604;Carrer de Benavent
038706;Carrer de Benedetti
038808;Plaça de Benet XV
038900;Carrer de Benet Mateu
039006;Carrer de Benevent
039108;Carrer de Benet Mercadé
039301;Carrer de Benlliure
039505;Plaça de Ramon Berenguer el Gran
039607;Carrer de Berenguer Mallol
039709;Carrer de Berenguer de Palou
039800;Carrer de Ramon Berenguer el Vell
039902;Carrer de Beret
040005;Carrer de Berga
040107;Carrer de Berguedà
040209;Carrer de Bergnes de las Casas
040300;Carrer de Berlín
040402;Carrer del Berlinès
040504;Carrer de Bermejo
040606;Carrer de Berna
040708;Passatge de Bernardí Martorell
040800;Carrer de Bernat Bransi
040901;Carrer de Bernat Martorell
041008;Carrer de Bernat Desclot
041052;Passatge de Bernat Fenollar
041100;Carrer de Bernat Metge
041201;Carrer de Berruguete
041303;Carrer de Bertran
041405;Carrer de Bertrand i Serra
041507;Carrer de Besalú
041700;Carrer del Besòs
041802;Carrer de Betània
041904;Carrer de Béthencourt
042000;Carrer de Besiers
042204;Carrer de Bigai
042259;Passatge de Bigai
042306;Carrer de Bilbao
042408;Carrer de Biosca
042500;Carrer de la Bisbal
042601;Carrer de Bismarck
042703;Passatge de Bismarck
042758;Passatge de la Blada
042805;Riera Blanca Sarrià
043003;Carrer d'en Blanco
043058;Baixada de Blanes
043105;Carrer de la Blanqueria
043207;Carrer de Blasco de Garay
043309;Plaça del Sortidor
043400;Carrer de Blai
043502;Carrer de Blesa
043604;Carrer de Boada
043706;Carrer de la Bòbila
043808;Passatge de Bocabella
043900;Carrer dels Bofarull
044006;Passatge de Bofarull
044108;Passatge de Bofill
044200;Avinguda del Bogatell
044221;Carrer dels Bohemis
044301;Carrer de Bolívar
044403;Carrer de Bolívia
044505;Carrer d'en Boltres
044607;Carrer del Bonaire
044709;Passeig de la Bonanova
044800;Plaça de la Bonanova
044902;Carrer de Bonaplata
045100;Passatge de Boné
045202;Carrer de Bonsoms
045304;Carrer de Bonveí
045406;Carrer d'en Boquer
045508;Carrer de la Boqueria
045600;Pla de la Boqueria
045701;Avinguda dels Quinze
045803;Carretera de la Bordeta
045905;Carrer de Bordils
045950;Carrer de Borgonya
046001;Passatge de Bori
046103;Carrer de Bori i Fontestà
046205;Carrer de la Bòria
046307;Carrer de les Borges Blanques
046409;Passeig del Born
046602;Carrer de Borràs
046704;Plaça de Borràs
047004;Passatge de Borrell
047208;Carrer de Bosch
047300;Carrer de Bosch i Alsina
047401;Passatge de Bosch i Labrús
047503;Carrer del Bosc
047558;Plaça de Boston
047605;Carrer d'en Bot
047707;Carrer d'en Botella
047809;Carrer dels Boters
048109;Carrer del Bou de Sant Pere
048153;Galeria Boulevard Rosa
048200;Carrer de Bragança
048404;Rambla del Brasil
048608;Carrer de Breda
048700;Carrer de Bretón de los Herreros
048765;Carrer del Violer
