"""CODI"""	"""NOM_OFICIAL"""
69404	Avinguda de Can Baró
69506	Plaça de Can Baró
69517	Camí de Can Borni
69572	Baixada de Can Mateu
69608	Carrer de Can Móra
69652	Camí de Cal Notari
69700	Carrer de Ca n'Oliva
69801	Passatge de Ca n'Oliva
69903	Passatge de Can Berdura
70006	Carrer de Can Xirot
70050	Passatge de la Casablanca
70108	Carrer de Casafranca
70200	Carrer de Casals
70403	Carrer de Casals i Cuberó
70505	Passatge de Casamitjana
70607	Carrer de Casanova
70709	Carrer d'Enric Casanovas
70800	Passatge de Casanovas
71009	Carrer de Casas i Amigó
71100	Carrer de les Cases Boada
71304	Passeig de Jean C. N. Forestier
71359	Plaça de les Cascades
71406	Carrer de les Casetes
71600	Carrer de Casp
71701	Baixada de Caçador
71905	Carrer de Castanys
72001	Carrer de Castanyer
72158	Passeig dels Castanyers
72170	Carrer de Castelladral
72307	Carrer de Castellar
72409	Carrer de Castellbell
72500	Carrer de Castellbisbal
72602	Carrer de Castelldefels
72704	Carrer de Castellet
72806	Carrer de Castellfollit
72908	Carrer de Castellnou
73004	Carrer de Castelló
73106	Plaça de Castelló
73139	Passeig de la Vimetera
73208	Carrer de Castells
73401	Carrer de Castellterçol
73503	Carrer de Castellví
73558	Parc Forestal de Can Castellví de Dalt
73605	Carrer de Casteràs
73707	Carrer de Castella
73809	Plaça de Castella
73900	Carrer de los Castillejos
73955	Parc del Castell de l'Oreneta
74030	Castell de l'Oreneta
74051	Castell de Montjuïc
74109	Carrer del Castor
74200	Plaça Catalana
74302	Passatge de Catalunya
74404	Plaça de Catalunya
74506	Rambla de Catalunya
74608	Carrer de Catània
74700	Carrer de Catasús
74801	Avinguda de la Catedral
74903	Carrer de Cabanelles
75000	Carrer de Cai Celi
75101	Rambla del Caçador
75203	Passatge de l'Ordi
75305	Carrer de Celrà
75349	Cementiri Sant Andreu
75440	Cementiri Sant Gervasi
75484	Cementiri les Corts
75509	Camí del Cementiri de Sant Gervasi
75531	Cementiri de Sants
75553	Plaça del Cementiri d'Horta
75575	Cementiri del Est
75600	Camí del Cementiri de Sarrià
75702	Carrer de Carmen Amaya
75804	Passatge de Rere el Cementiri Vell
75906	Carrer de la Cendra
76002	Passatge de Centelles
76104	Plaça de la Central
76206	Carrer del Centre
76308	Plaça del Centre
76443	Cent Quirúrgic Peracamps
76501	Carrer de la Cera
76556	Carrer de la Ceràmica
76603	Carrer del Clos de Sant Francesc
76705	Carrer de Cerdà
76807	Carrer de Sardenya
76851	Carrer dels Cirerers
76909	Carrer de Cerignola
77005	Carrer de Cermeño
77107	Carrer del Turó de la Trinitat
77209	Plaça del Turó de la Trinitat
77300	Carrer de Cervantes
77504	Carrer de Cervelló
77606	Carrer de Cervera
77708	Carrer de Cesare Cantù
77800	Carrer de Ceuta
77854	Passatge de Ceuta
77901	Carrer de Ciceró
78008	Carrer del Cid
78100	Carrer dels Cecs de la Boqueria
78201	Carrer dels Cecs de Sant Cugat
78303	Carrer de les Ciències
78405	Carrer de Cienfuegos
78609	Carrer de Cifuentes
78653	Passeig del Cimal
78700	Carrer del Cinca
78802	Carrer del Cisell
78904	Carrer del Torrent de les Roses
79000	Passatge de les Cinc Torres
79102	Carrer del Xiprer
79157	Plaça de Cirici Pellicer
79204	Carrer de Circumval·lació
79259	Carretera Circumval·lació
79306	Passeig de Circumval·lació
79408	Carrer de la Cirera
79601	Carrer del Cigne
79703	Carrer de Cisquer
79805	Carrer del Cistellet
79907	Carrer del Cister
80000	Carrer de la Ciutat
80101	Carrer de la Ciutat d'Asunción
